item_name,shop_name,city,address,price,material,category,lat,lon
None,fuel,Tuyên Quang,"Đường Lũng Cú Mới, Cẳng Tằng, Thèn Pả, Lũng Cú, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.3545675,105.3128434
None,fuel,Tuyên Quang,"Đường cột cờ quốc gia, Cẳng Tằng, Lũng Cú, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.361554,105.3155218
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, ĐH.15, Mã Sồ, Ma Lé, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2798368,105.2753813
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, ĐH.15, Mã Sồ, Ma Lé, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2945616,105.2941508
None,fuel,Tuyên Quang,"Quốc lộ 4C, Đoàn Kết, Sủng Là, Xã Sà Phìn, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.2601297,105.2652055
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường Lũng Cú Mới, Cẳng Tằng, Thèn Pả, Lũng Cú, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.3637408,105.3238823
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường cột cờ quốc gia, Ma Lé, Lèng Xảng, Ma Lé, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.30998,105.3004211
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Đường Lũng Cú Mới, Cẳng Tằng, Thèn Pả, Lũng Cú, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.354485,105.3126804
None,fuel,Tuyên Quang,"Đường cột cờ quốc gia, Ma Lé, Lèng Xảng, Ma Lé, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.3528264,105.3105924
None,gift,Tuyên Quang,"Đường cột cờ quốc gia, Cẳng Tằng, Thèn Pả, Lũng Cú, Xã Lũng Cú, Tỉnh Tuyên Quang, Việt Nam",None,None,gift,23.3604929,105.3162677
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, TL 217, Khau Vai, Xã Khâu Vai, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.1068676,105.5030699
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Mèo Vạc, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2279248,105.4282203
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, DH03, Xã Sơn Vĩ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.219593,105.4622001
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, DH03, Xã Sơn Vĩ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.1996076,105.4967924
None,fuel,Tuyên Quang,"TL 217, Khau Vai, Xã Khâu Vai, Tỉnh Tuyên Quang, Việt Nam",None,None,fuel,23.1061732,105.503382
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, DH03, Xã Sơn Vĩ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2436514,105.4614433
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, DH03, Xã Sơn Vĩ, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2229462,105.4571773
Sua Xe,motorcycle_repair,Tuyên Quang,"Sua Xe, Quốc lộ 4C, Xã Đồng Văn, Tỉnh Tuyên Quang, Việt Nam",None,None,motorcycle_repair,23.2429006,105.4096876
